    "time","Piston_r2","Inertia_w"
    0.3645,0.18734308,  244.4956
     0.365,0.17446809, 251.36605
    0.3655, 0.1620936, 259.97958
     0.366,0.15042295, 269.92848
    0.3665,0.13965946, 280.62414
     0.367,  0.129991, 291.33895
    0.3675,0.12157134, 301.32466
     0.368,0.11450535, 309.97061
    0.3685,0.10884473,   316.903
     0.369,0.10459659, 322.00573
    0.3695,0.10174067,  325.3423
      0.37,0.10024904, 327.03909
    0.3705,0.10010198, 327.16441
     0.371,0.10129669, 325.77876
    0.3715,0.10384796, 322.79748
     0.372,0.10778227, 318.12743
    0.3725,0.11312883, 311.73037
     0.373,0.11988586, 303.71619
    0.3735,0.12802596,  294.3662
     0.374,0.13746786, 284.19646
    0.3745,0.14807219, 273.98525
     0.375,0.15967168,   264.445
    0.3755,0.17207143, 256.19364
     0.376,0.18506829, 249.69729
    0.3765,0.19846429, 245.26525
     0.377,0.21206923, 243.11137
    0.3775,0.22569551, 243.40278
     0.378,0.23914707, 246.30852
    0.3785,0.25220259, 252.02139
     0.379,0.26459172, 260.72197
    0.3795,0.27596204, 272.42025
      0.38,0.28584333, 286.66935
    0.3805,0.29361467, 301.62993
     0.381,  0.298541, 313.54588
    0.3815,0.29997452, 317.50422
     0.382,0.29768719, 311.74264
    0.3825,0.29201443, 299.39376
     0.383,0.28362971, 285.00872
    0.3835,0.27324382, 272.00454
     0.384,0.26143398, 261.76705
    0.3845,0.24863601, 254.64168
     0.385,0.23517195, 250.54082
    0.3855,0.22131058, 249.31814
     0.386,0.20728974, 250.84403
    0.3865,0.19331085, 254.96385
     0.387,0.17958001, 261.50431
    0.3875,0.16633512,   270.238
     0.388,0.15380266, 280.69542
    0.3885,0.14221502, 292.23065
     0.389,0.13178802, 304.04311
    0.3895,0.12270835, 315.21367
      0.39,0.11510946, 324.92813
    0.3905,0.10905956,  332.6823
     0.391,0.10456986, 338.31893
    0.3915,0.10161695, 341.91631
     0.392,0.10016823,  343.6295
